Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
288,Vlatko Čančar,25,DEN,PF,60,9,889,5.9,12.5,0.476,2.4,6.3,0.374,3.6,6.2,0.58,0.57,2.1,2.3,0.927,1.3,5.7,7.0,4.4,1.2,0.8,2.0,4.6,16.3,119.0,116,,cancavl01,11.0,0.606,0.507,0.181,3.2,13.1,8.3,11.5,1.2,1.4,13.1,13.8,0.9,0.8,1.7,0.093,-1.7,-0.1,-1.8,0.0
289,Nickeil Alexander-Walker,24,2TM,SG,59,3,884,7.1,15.9,0.444,3.3,8.6,0.384,3.8,7.3,0.515,0.547,2.2,3.2,0.667,0.8,4.6,5.4,5.8,1.7,1.1,3.0,4.7,19.6,109.0,116,,alexani01,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2.0,14.6,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2
289,Nickeil Alexander-Walker,24,UTA,SG,36,3,528,7.5,15.4,0.488,3.2,7.9,0.402,4.3,7.5,0.578,0.591,2.4,3.5,0.692,0.7,4.6,5.3,6.9,2.2,1.3,4.1,5.2,20.6,111.0,116,,alexani01,13.0,0.609,0.512,0.229,1.7,10.3,6.0,19.9,2.2,2.2,19.4,18.4,0.3,0.5,0.8,0.074,-0.6,1.1,0.5,0.3
289,Nickeil Alexander-Walker,24,MIN,SG,23,0,356,6.4,16.7,0.384,3.5,9.6,0.361,2.9,7.1,0.415,0.488,1.7,2.8,0.619,0.9,4.7,5.6,4.3,1.1,0.9,1.3,4.0,18.0,106.0,116,,alexani01,9.6,0.503,0.576,0.168,2.2,10.8,6.6,12.0,1.1,1.7,6.9,17.3,0.0,0.3,0.3,0.044,-2.5,-0.5,-3.0,-0.1
290,Bismack Biyombo,30,PHO,C,61,14,874,6.7,11.5,0.578,0.0,0.0,,6.7,11.5,0.578,0.578,1.4,3.9,0.357,5.0,9.6,14.5,3.1,1.0,4.9,2.9,6.4,14.7,109.0,108,,biyombi01,14.4,0.555,0.0,0.34,11.0,22.1,16.5,8.7,1.0,9.0,17.7,14.0,0.2,1.6,1.9,0.102,-3.4,2.5,-0.9,0.2
291,Goran Dragić,36,2TM,PG,58,0,870,7.9,18.7,0.421,2.9,8.1,0.359,5.0,10.6,0.468,0.499,1.7,2.5,0.689,0.9,3.6,4.5,8.4,0.7,0.2,3.5,3.6,20.4,103.0,117,,dragigo01,10.3,0.514,0.433,0.134,2.1,8.2,5.2,24.3,0.7,0.4,15.1,21.1,-0.3,0.7,0.4,0.025,-2.1,-1.8,-3.9,-0.4
291,Goran Dragić,36,CHI,PG,51,0,787,7.9,18.5,0.425,2.8,7.9,0.352,5.1,10.6,0.48,0.5,1.7,2.5,0.659,0.8,3.5,4.3,8.6,0.7,0.2,3.5,3.9,20.2,103.0,117,,dragigo01,10.2,0.514,0.428,0.137,1.9,7.9,5.0,24.7,0.7,0.5,15.0,21.0,-0.2,0.6,0.4,0.023,-2.1,-1.6,-3.7,-0.3
291,Goran Dragić,36,MIL,PG,7,0,83,8.1,20.7,0.389,4.0,9.8,0.412,4.0,10.9,0.368,0.486,2.3,2.3,1.0,1.7,5.2,6.9,6.9,1.2,0.0,4.0,1.2,22.4,104.0,115,,dragigo01,11.4,0.516,0.472,0.111,3.9,10.9,7.5,20.2,1.2,0.0,15.6,22.7,0.0,0.1,0.1,0.037,-2.3,-2.9,-5.2,-0.1
292,James Wiseman,21,2TM,C,45,22,867,10.5,18.8,0.558,0.2,1.1,0.2,10.3,17.7,0.58,0.563,3.8,5.4,0.701,4.0,10.8,14.8,1.7,0.4,1.5,2.8,6.0,25.0,112.0,116,,wisemja01,15.6,0.589,0.059,0.286,9.2,25.2,17.0,5.5,0.4,2.7,11.8,21.2,0.7,0.7,1.4,0.077,-2.1,-1.4,-3.5,-0.3
292,James Wiseman,21,GSW,C,21,0,262,10.6,16.9,0.628,0.2,0.4,0.5,10.5,16.6,0.63,0.633,4.7,6.9,0.684,3.2,9.9,13.2,2.5,0.5,1.3,2.5,7.0,26.1,123.0,114,,wisemja01,17.1,0.655,0.021,0.404,7.7,22.7,15.3,8.0,0.5,2.4,11.2,20.0,0.5,0.3,0.8,0.144,-1.3,-0.5,-1.7,0.0
