Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
470,Cassius Winston,22,WAS,PG,22,0,98,6.6,15.5,0.424,3.8,8.0,0.471,2.8,7.5,0.375,0.545,2.4,2.8,0.833,0.0,4.2,4.2,5.6,0.9,0.5,2.4,3.8,19.3,111.0,116,,winstca01,10.8,0.575,0.515,0.182,0.0,9.7,4.9,16.3,0.9,0.9,12.3,17.2,0.1,0.1,0.1,0.066,-2.1,-1.1,-3.2,0.0,19.6,0.061,0.121,0.121,0.182,0.375,0.5,0.25,0.75,0.167,0.471,0.167,0.875,0.0,0,0.118,0,0
471,Devontae Cacok,24,LAL,PF,20,1,98,8.4,14.4,0.586,0.0,0.0,,8.4,14.4,0.586,0.586,2.5,5.5,0.455,6.0,9.9,15.9,0.5,2.5,2.0,2.5,4.0,19.4,111.0,102,,cacokde01,17.2,0.576,0.0,0.379,13.8,22.8,18.4,1.5,2.5,3.7,12.9,17.2,0.1,0.2,0.3,0.142,-1.5,0.4,-1.0,0.0,3.1,0.586,0.379,0.034,0.0,0.586,0.706,0.455,0.0,,,0.706,,0.31,7,,0,0
472,Jahmi'us Ramsey,19,SAC,SG,13,0,94,7.7,19.4,0.395,2.6,9.7,0.263,5.1,9.7,0.526,0.461,2.6,2.6,1.0,1.0,4.1,5.1,3.1,2.0,0.5,1.5,4.1,20.4,102.0,118,,ramseja01,10.5,0.498,0.5,0.132,2.3,9.6,5.9,8.8,2.0,0.9,6.9,19.8,0.0,0.0,0.0,0.012,-3.1,-1.4,-4.5,-0.1,15.3,0.289,0.079,0.105,0.026,0.526,0.818,0.0,0.25,0.0,0.263,0.7,1.0,0.053,2,0.263,0,0
473,Cassius Stanley,21,IND,SG,24,0,93,6.6,21.9,0.302,1.5,6.6,0.231,5.1,15.2,0.333,0.337,3.6,4.6,0.778,4.1,6.1,10.2,0.5,0.5,1.0,0.5,7.1,18.3,90.0,116,,stanlca01,5.5,0.383,0.302,0.209,9.4,13.9,11.7,1.4,0.5,1.7,2.1,22.0,-0.2,0.1,-0.1,-0.05,-7.2,-4.0,-11.2,-0.2,10.4,0.419,0.233,0.047,0.0,0.333,0.444,0.2,0.0,,0.231,0.6,1.0,0.116,3,0.154,0,0
474,Nate Hinton,21,DAL,SG,21,0,93,8.0,22.3,0.357,2.1,10.1,0.211,5.8,12.2,0.478,0.405,3.7,5.3,0.7,0.5,4.2,4.8,4.2,3.7,1.1,2.7,4.2,21.7,91.0,109,,hintona01,10.4,0.442,0.452,0.238,1.2,9.4,5.3,12.4,3.7,2.0,9.7,24.4,-0.2,0.1,0.0,-0.015,-4.5,1.0,-3.4,0.0,17.6,0.143,0.119,0.071,0.214,0.478,0.5,0.2,0.667,0.556,0.211,0.182,0.75,0.024,1,0.158,0,0
475,Chris Silva,24,2TM,PF,15,0,92,5.4,8.6,0.625,0.5,0.5,1.0,4.8,8.1,0.6,0.656,5.9,8.1,0.733,3.8,10.8,14.5,3.2,0.5,3.2,5.4,12.9,17.2,110.0,109,,silvach01,11.5,0.708,0.063,0.938,8.9,24.4,16.8,9.3,0.5,6.6,30.7,15.9,0.1,0.1,0.2,0.101,-6.7,1.1,-5.5,-0.1,7.9,0.5,0.25,0.125,0.063,0.6,0.75,0.5,0.5,0.0,1.0,0.778,1.0,0.25,4,0.0,0,0
475,Chris Silva,24,MIA,PF,11,0,83,5.4,7.8,0.692,0.6,0.6,1.0,4.8,7.2,0.667,0.731,6.6,9.0,0.733,4.2,10.8,15.0,3.6,0.6,3.0,5.4,12.0,18.0,117.0,108,,silvach01,13.4,0.765,0.077,1.154,9.8,24.4,17.2,10.3,0.6,6.3,31.5,15.5,0.1,0.1,0.2,0.136,-5.3,1.4,-3.9,0.0,6.1,0.538,0.231,0.154,0.0,0.667,0.857,0.333,0.5,,1.0,0.75,1.0,0.308,4,0.0,0,0
475,Chris Silva,24,SAC,PF,4,0,9,5.3,16.0,0.333,0.0,0.0,,5.3,16.0,0.333,0.333,0.0,0.0,,0.0,10.7,10.7,0.0,0.0,5.3,5.3,21.3,10.7,49.0,112,,silvach01,-5.9,0.333,0.0,0.0,0.0,25.0,12.3,0.0,0.0,9.4,25.0,19.1,-0.1,0.0,0.0,-0.219,-19.3,-1.3,-20.6,0.0,9.6,0.333,0.333,0.0,0.333,0.333,0.0,1.0,,0.0,,1.0,,0.0,0,,0,0
476,Karim Mané,20,ORL,PG,10,0,88,1.7,7.2,0.231,0.6,1.1,0.5,1.1,6.1,0.182,0.269,2.2,2.8,0.8,0.6,7.2,7.7,2.2,0.0,1.1,1.7,5.5,6.1,77.0,117,,maneka01,1.3,0.362,0.154,0.385,1.1,15.9,8.3,6.0,0.0,2.1,16.5,8.9,-0.1,0.0,-0.1,-0.045,-9.1,-0.8,-9.9,-0.2,7.3,0.385,0.385,0.077,0.0,0.182,0.4,0.0,0.0,,0.5,0.0,1.0,0.077,0,0.0,0,0
477,Justin Robinson,23,OKC,PG,9,0,88,3.8,11.3,0.333,2.2,7.6,0.286,1.6,3.8,0.429,0.429,1.6,2.7,0.6,0.5,3.2,3.8,4.9,1.6,0.0,1.1,5.4,11.3,102.0,117,,robinju01,6.0,0.453,0.667,0.238,1.2,7.2,4.1,14.1,1.6,0.0,7.9,12.2,0.0,0.0,0.0,0.021,-5.8,-1.0,-6.8,-0.1,20.2,0.143,0.048,0.048,0.095,0.429,0.667,1.0,0.0,0.0,0.286,0.333,1.0,0.0,0,0.143,0,0
478,Cameron Oliver,24,HOU,SF,4,0,87,10.3,18.0,0.576,2.2,7.1,0.308,8.2,10.9,0.75,0.636,0.5,2.2,0.25,2.7,8.7,11.4,2.7,1.1,2.2,1.6,6.0,23.4,118.0,113,,oliveca01,17.2,0.619,0.394,0.121,5.9,20.5,12.9,9.6,1.1,4.1,7.9,18.5,0.1,0.1,0.2,0.114,-1.0,-1.0,-2.0,0.0,12.6,0.394,0.121,0.091,0.0,0.75,0.769,0.75,0.667,,0.308,0.867,1.0,0.152,5,0.0,0,0
479,Louis King,21,SAC,SF,6,1,85,9.6,19.2,0.5,2.3,6.2,0.364,7.3,13.0,0.565,0.559,3.4,3.4,1.0,2.8,7.3,10.2,5.1,4.0,1.7,2.3,5.1,24.8,121.0,110,,kinglo02,21.2,0.6,0.324,0.176,6.4,17.2,11.8,15.4,4.0,3.0,9.8,20.6,0.2,0.1,0.3,0.16,2.3,2.5,4.9,0.1,12.9,0.206,0.235,0.235,0.0,0.565,0.857,0.625,0.25,,0.364,0.385,0.75,0.059,2,0.364,0,0
480,Cristiano Felício,28,CHI,C,18,0,84,4.0,7.5,0.538,0.0,1.2,0.0,4.0,6.3,0.636,0.538,5.2,9.2,0.563,5.8,9.2,15.0,5.2,2.3,0.0,2.3,5.8,13.3,125.0,110,,feliccr01,14.7,0.574,0.154,1.231,13.3,20.9,17.2,13.6,2.3,0.0,16.6,12.4,0.2,0.1,0.3,0.151,-1.1,1.2,0.1,0.0,7.4,0.692,0.077,0.0,0.077,0.636,0.778,0.0,,0.0,0.0,0.429,,0.077,1,0.0,0,0
481,Alen Smailagić,20,GSW,PF,15,1,84,6.2,15.1,0.407,2.2,5.6,0.4,3.9,9.5,0.412,0.481,1.1,3.4,0.333,3.4,5.6,8.9,2.2,1.7,2.8,2.8,6.2,15.7,92.0,108,,smailal01,8.9,0.472,0.37,0.222,7.7,12.5,10.1,6.5,1.7,5.2,14.4,17.6,-0.1,0.1,0.0,0.015,-4.9,-0.4,-5.3,-0.1,11.9,0.37,0.259,0.0,0.0,0.412,0.5,0.286,,,0.4,0.429,1.0,0.0,0,0.3,0,0
482,Jay Scrubb,20,LAC,SG,4,1,84,8.3,21.2,0.389,1.2,5.3,0.222,7.1,15.9,0.444,0.417,2.9,2.9,1.0,1.2,7.1,8.3,0.6,2.4,0.0,4.1,2.9,20.6,82.0,111,,scrubja01,6.3,0.458,0.25,0.139,2.8,15.6,9.4,1.7,2.4,0.0,15.5,23.8,-0.2,0.1,-0.1,-0.072,-8.1,-2.8,-10.9,-0.2,13.0,0.306,0.167,0.083,0.194,0.444,0.545,0.333,0.333,0.429,0.222,0.583,1.0,0.028,1,0.333,0,0
483,Norvel Pelle,27,3TM,C,13,0,84,4.7,8.8,0.533,0.0,0.0,,4.7,8.8,0.533,0.533,2.3,3.5,0.667,3.5,7.6,11.2,1.2,0.6,5.3,1.8,8.2,11.7,113.0,107,,pelleno01,11.6,0.567,0.0,0.4,8.1,16.5,12.4,3.0,0.6,10.0,14.5,10.8,0.1,0.1,0.2,0.112,-4.5,1.9,-2.6,0.0,1.6,0.733,0.267,0.0,0.0,0.533,0.545,0.5,,,,0.5,,0.4,4,,0,0
