Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
118,Andrew Wiggins,29,2TM,SF,60,60,1842,7.3,16.4,0.448,2.5,6.8,0.374,4.8,9.6,0.501,0.526,3.8,5.0,0.763,1.7,3.5,5.3,3.1,1.2,1.0,1.9,2.0,21.1,,wiggian01,16.4,0.566,0.415,0.306,5.1,10.8,7.9,13.5,1.6,2.6,9.4,24.5,1.9,2.1,4.0,0.104,1.2,-0.3,0.9,1.4
118,Andrew Wiggins,29,GSW,SF,43,43,1296,7.2,16.3,0.444,2.6,6.9,0.379,4.6,9.4,0.491,0.524,3.9,5.0,0.777,1.8,3.6,5.5,2.8,1.1,0.9,1.6,1.9,21.0,,wiggian01,16.4,0.566,0.422,0.304,5.3,11.2,8.2,12.2,1.5,2.4,7.7,23.5,1.7,1.5,3.2,0.119,1.4,-0.4,1.0,1.0
118,Andrew Wiggins,29,MIA,SF,17,17,546,7.6,16.5,0.458,2.4,6.6,0.36,5.2,10.0,0.523,0.53,3.8,5.1,0.731,1.5,3.2,4.7,3.7,1.3,1.1,2.8,2.0,21.3,,wiggian01,16.4,0.566,0.398,0.311,4.7,9.8,7.3,16.5,1.8,3.0,13.1,26.7,0.2,0.6,0.8,0.069,0.8,-0.1,0.7,0.4
119,Isaiah Collier,20,UTA,PG,71,46,1839,4.6,10.9,0.422,0.8,3.3,0.249,3.8,7.6,0.497,0.459,2.1,3.0,0.682,0.6,4.0,4.6,8.7,1.3,0.3,4.1,2.9,12.0,,colliis01,9.7,0.494,0.305,0.277,1.9,11.8,6.9,34.3,1.7,0.8,25.0,18.9,-1.3,0.5,-0.8,-0.021,-3.8,-1.5,-5.3,-1.6
120,Keldon Johnson,25,SAS,SF,77,0,1838,7.3,15.1,0.482,1.7,5.4,0.318,5.6,9.7,0.573,0.538,2.9,3.8,0.773,2.2,5.1,7.3,2.4,1.0,0.4,1.5,2.3,19.2,,johnske04,15.6,0.572,0.356,0.252,6.5,15.1,10.8,10.2,1.3,1.1,8.3,21.6,2.2,1.0,3.2,0.083,0.0,-1.6,-1.6,0.2
121,Royce O'Neale,31,PHO,SF,75,22,1837,4.7,11.2,0.423,3.5,8.6,0.406,1.2,2.5,0.481,0.58,0.4,0.5,0.731,1.0,5.8,6.8,3.2,1.3,0.7,1.3,3.0,13.3,,onealro01,12.6,0.585,0.774,0.046,3.3,17.5,10.6,12.3,1.8,1.7,10.1,15.5,1.6,1.2,2.8,0.073,0.2,-0.1,0.1,1.0
122,P.J. Washington,26,DAL,PF,57,56,1835,5.9,13.0,0.453,1.8,4.7,0.381,4.1,8.4,0.493,0.521,2.8,3.9,0.722,1.6,7.1,8.7,2.6,1.2,1.2,2.3,2.6,16.4,,washipj01,14.0,0.556,0.359,0.298,5.0,20.9,13.1,10.1,1.7,2.8,13.6,20.4,0.3,2.1,2.4,0.062,-1.1,0.2,-0.9,0.5
123,CJ McCollum,33,NOP,PG,56,56,1832,8.7,19.7,0.444,3.4,9.0,0.373,5.4,10.6,0.505,0.53,2.4,3.4,0.717,0.8,3.3,4.2,4.5,0.9,0.5,2.1,2.4,23.2,,mccolcj01,15.8,0.55,0.459,0.173,2.4,10.3,6.2,20.6,1.2,1.3,9.0,27.2,1.3,0.2,1.5,0.038,1.2,-2.6,-1.4,0.3
124,Haywood Highsmith,28,MIA,SF,74,42,1818,3.5,7.7,0.458,1.8,4.6,0.382,1.8,3.1,0.57,0.572,0.6,0.9,0.721,1.4,3.6,5.0,2.2,1.3,0.7,1.1,3.2,9.5,,highsha01,9.9,0.583,0.596,0.11,4.4,10.8,7.7,8.4,1.9,2.0,11.6,11.3,1.3,2.1,3.3,0.088,-2.7,0.9,-1.9,0.1
125,Dorian Finney-Smith,31,2TM,PF,63,40,1818,3.9,8.6,0.448,2.6,6.2,0.411,1.3,2.4,0.545,0.597,0.6,0.9,0.667,1.6,3.3,4.9,1.8,1.1,0.5,1.1,2.7,10.9,,finnedo01,10.1,0.604,0.722,0.103,5.0,10.4,7.7,6.9,1.6,1.2,11.0,12.3,1.5,1.4,2.9,0.078,-1.1,0.1,-1.0,0.5
125,Dorian Finney-Smith,31,BRK,PF,20,20,579,4.5,9.9,0.459,2.9,6.7,0.435,1.6,3.2,0.51,0.607,0.9,1.5,0.625,1.9,3.7,5.7,1.9,1.1,0.7,1.1,3.4,12.9,,finnedo01,12.2,0.613,0.679,0.151,5.8,12.3,8.9,8.2,1.5,2.1,9.6,14.2,0.7,0.5,1.1,0.094,-0.1,0.1,0.0,0.3
125,Dorian Finney-Smith,31,LAL,PF,43,20,1239,3.5,8.0,0.442,2.4,6.0,0.398,1.2,2.0,0.571,0.591,0.4,0.6,0.714,1.4,3.1,4.5,1.7,1.2,0.3,1.1,2.4,9.9,,finnedo01,9.2,0.598,0.746,0.076,4.6,9.5,7.1,6.3,1.6,0.8,11.8,11.5,0.9,0.9,1.8,0.07,-1.6,0.1,-1.5,0.2
126,Alex Sarr,19,WAS,C,67,67,1814,6.5,16.4,0.394,2.1,6.8,0.308,4.4,9.7,0.454,0.457,2.2,3.3,0.679,2.5,6.2,8.6,3.2,0.9,2.0,2.3,2.9,17.2,ROY-4,sarral01,12.9,0.482,0.412,0.199,7.1,17.9,12.5,13.9,1.2,5.0,11.2,23.5,-1.6,1.3,-0.3,-0.007,-2.2,-1.0,-3.3,-0.6
127,Kyrie Irving,32,DAL,SG,50,50,1804,8.9,18.9,0.473,2.9,7.2,0.401,6.0,11.7,0.517,0.549,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.6,CPOY-10AS,irvinky01,19.9,0.594,0.38,0.226,3.7,10.6,7.2,20.5,1.8,1.1,9.7,27.4,3.4,1.3,4.6,0.124,3.9,-0.5,3.4,2.5
128,Kyshawn George,21,WAS,SG,68,38,1802,4.1,10.9,0.372,2.3,7.1,0.322,1.8,3.8,0.464,0.476,1.4,1.9,0.753,1.0,4.7,5.7,3.4,1.4,1.0,1.9,4.0,11.8,,georgky01,8.8,0.503,0.648,0.17,2.8,13.7,8.2,13.3,1.8,2.5,14.2,15.9,-0.9,1.1,0.1,0.003,-3.8,-0.3,-4.1,-0.9
129,Cameron Johnson,28,BRK,PF,57,57,1800,7.1,14.9,0.475,3.2,8.2,0.39,3.9,6.8,0.578,0.582,4.0,4.5,0.893,1.1,3.9,4.9,3.9,1.1,0.5,2.0,2.1,21.4,,johnsca02,18.2,0.632,0.546,0.301,3.3,12.8,7.8,18.5,1.5,1.4,10.5,22.9,3.8,1.3,5.1,0.137,3.5,-0.4,3.1,2.3
130,Duncan Robinson,30,MIA,SF,74,37,1785,5.8,13.4,0.437,3.8,9.7,0.393,2.0,3.6,0.556,0.581,0.9,1.1,0.887,0.4,3.0,3.4,3.5,0.8,0.1,1.7,2.7,16.5,,robindu01,11.8,0.595,0.729,0.08,1.1,9.1,5.2,14.7,1.1,0.3,11.1,19.2,1.3,1.4,2.7,0.071,-0.7,-1.1,-1.7,0.1
131,Kris Dunn,30,LAC,PG,74,58,1783,3.9,8.8,0.439,1.5,4.5,0.335,2.4,4.3,0.549,0.525,0.3,0.4,0.682,1.1,4.0,5.1,4.2,2.6,0.5,1.5,4.0,9.6,,dunnkr01,11.3,0.531,0.513,0.05,3.4,12.4,8.0,15.6,3.5,1.5,14.2,12.7,0.8,3.2,4.0,0.108,-2.8,3.4,0.6,1.2
132,Luka Dončić,25,2TM,PG,50,50,1769,9.4,20.9,0.45,3.6,9.8,0.368,5.8,11.1,0.522,0.536,6.3,8.0,0.782,0.8,7.5,8.3,7.8,1.8,0.4,3.6,2.6,28.7,,doncilu01,24.1,0.587,0.469,0.385,2.6,22.6,12.8,36.1,2.5,1.1,13.0,33.9,3.5,2.4,5.9,0.16,5.5,1.2,6.7,3.9
132,Luka Dončić,25,DAL,PG,22,22,785,9.9,21.4,0.464,3.4,9.7,0.354,6.5,11.6,0.555,0.544,5.1,6.7,0.767,0.7,7.7,8.4,7.9,2.0,0.4,3.4,2.7,28.4,,doncilu01,24.2,0.584,0.455,0.313,2.3,22.7,12.7,36.7,2.7,1.0,12.4,33.1,1.5,1.1,2.5,0.155,5.5,1.4,6.9,1.8
132,Luka Dončić,25,LAL,PG,28,28,984,9.0,20.5,0.438,3.7,9.8,0.379,5.2,10.6,0.493,0.53,7.2,9.1,0.791,0.9,7.4,8.3,7.7,1.6,0.4,3.8,2.5,28.9,,doncilu01,23.9,0.59,0.481,0.445,2.8,22.5,12.9,35.6,2.2,1.1,13.5,34.5,2.0,1.4,3.4,0.164,5.5,1.1,6.5,2.1
133,Scoot Henderson,20,POR,PG,66,10,1759,5.9,14.0,0.419,2.1,6.1,0.354,3.7,7.9,0.469,0.496,3.2,4.2,0.767,1.1,3.0,4.1,6.9,1.4,0.3,3.6,3.7,17.1,,hendesc01,12.5,0.54,0.434,0.301,3.1,9.2,6.1,28.1,1.9,0.7,18.6,22.5,0.4,1.4,1.8,0.049,-1.4,-0.8,-2.2,-0.1
134,Wendell Carter Jr.,25,ORL,C,68,51,1758,4.6,10.1,0.46,0.8,3.2,0.234,3.9,6.8,0.568,0.498,2.6,3.6,0.737,3.1,7.0,10.1,2.7,1.1,0.8,1.6,4.1,12.7,,cartewe01,13.7,0.544,0.322,0.356,9.4,23.4,16.0,11.5,1.5,2.2,11.9,16.0,1.6,3.0,4.6,0.125,-2.2,0.9,-1.2,0.3
135,Collin Sexton,26,UTA,SG,63,61,1758,8.5,17.8,0.48,2.3,5.5,0.406,6.3,12.2,0.513,0.543,4.4,5.1,0.865,1.2,2.3,3.5,5.4,1.0,0.1,3.3,2.9,23.7,,sextoco01,16.6,0.593,0.313,0.29,3.7,6.8,5.2,25.1,1.3,0.3,14.1,27.0,2.5,-0.1,2.4,0.066,1.7,-2.3,-0.6,0.6
136,Mike Conley,37,MIN,PG,71,64,1756,3.8,9.6,0.4,2.6,6.4,0.41,1.2,3.2,0.38,0.535,1.7,1.8,0.9,0.7,3.1,3.7,6.5,1.6,0.3,1.5,2.3,11.9,,conlemi01,13.3,0.573,0.662,0.192,2.1,9.3,5.7,24.5,2.2,0.7,12.9,14.4,3.0,2.2,5.2,0.142,-0.1,1.3,1.2,1.4
137,Amir Coffey,27,LAC,SG,72,13,1748,4.9,10.5,0.471,2.1,5.1,0.409,2.9,5.4,0.529,0.57,2.4,2.7,0.891,0.7,2.7,3.3,1.6,0.8,0.1,0.9,2.5,14.3,,coffeam01,11.2,0.614,0.484,0.253,2.1,8.2,5.2,6.1,1.1,0.4,7.4,15.3,2.4,1.7,4.0,0.111,-1.5,-0.2,-1.7,0.1
138,Jimmy Butler,35,2TM,SF,55,55,1746,6.2,12.3,0.504,0.7,2.1,0.308,5.5,10.2,0.546,0.531,6.8,8.1,0.842,2.6,3.5,6.1,6.1,1.6,0.4,1.5,1.1,19.9,,butleji01,22.4,0.626,0.174,0.657,7.7,10.8,9.2,25.5,2.2,1.0,8.8,20.8,6.6,2.0,8.7,0.238,4.0,1.0,4.9,3.0
138,Jimmy Butler,35,MIA,PF,25,25,766,6.7,12.4,0.54,0.6,1.7,0.361,6.1,10.7,0.568,0.565,6.1,7.6,0.801,2.6,3.6,6.2,5.6,1.3,0.5,1.4,1.1,20.0,,butleji01,22.8,0.638,0.137,0.612,8.0,10.9,9.4,24.2,1.8,1.3,8.2,21.1,2.9,0.8,3.7,0.233,4.2,0.6,4.8,1.3
138,Jimmy Butler,35,GSW,SF,30,30,980,5.8,12.3,0.476,0.7,2.5,0.279,5.1,9.8,0.526,0.504,7.4,8.5,0.87,2.6,3.5,6.1,6.5,1.8,0.3,1.6,1.1,19.8,,butleji01,22.2,0.617,0.204,0.692,7.5,10.7,9.1,26.5,2.5,0.8,9.2,20.6,3.7,1.2,4.9,0.242,3.8,1.2,5.0,1.7
139,Aaron Wiggins,26,OKC,SG,76,26,1744,7.3,15.0,0.488,2.7,7.0,0.383,4.6,8.0,0.578,0.577,1.5,1.8,0.831,1.7,4.4,6.1,2.8,1.2,0.4,1.4,2.1,18.9,,wiggiaa01,16.1,0.596,0.466,0.122,5.1,12.9,9.1,10.6,1.7,1.0,8.3,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4
140,Walker Kessler,23,UTA,C,58,58,1740,5.8,8.7,0.663,0.1,0.7,0.176,5.6,8.0,0.706,0.671,1.6,3.1,0.52,5.5,9.1,14.6,2.0,0.7,2.9,1.8,2.7,13.3,,kesslwa01,20.0,0.66,0.081,0.363,16.6,27.1,21.9,8.3,1.0,7.4,15.0,13.7,3.6,1.8,5.4,0.149,1.1,0.7,1.8,1.7
141,De'Andre Hunter,27,2TM,SF,64,9,1740,7.4,15.8,0.47,3.2,8.0,0.405,4.2,7.7,0.537,0.573,4.4,5.3,0.846,0.9,4.4,5.3,1.9,1.0,0.3,1.7,3.2,22.5,6MOY-4,huntede01,15.9,0.623,0.509,0.333,2.7,13.4,8.1,7.5,1.4,0.7,8.6,22.8,3.0,1.4,4.4,0.122,1.2,-0.8,0.4,1.0
141,De'Andre Hunter,27,ATL,SF,37,4,1064,7.7,16.6,0.461,3.3,8.4,0.393,4.4,8.3,0.531,0.56,5.1,6.0,0.858,0.9,4.0,4.9,1.9,1.0,0.2,2.0,3.0,23.8,,huntede01,15.8,0.616,0.502,0.358,2.7,12.5,7.5,7.8,1.4,0.4,9.4,24.2,1.6,0.6,2.2,0.1,0.9,-1.4,-0.4,0.4
141,De'Andre Hunter,27,CLE,SF,27,5,676,7.0,14.4,0.485,3.2,7.5,0.426,3.8,6.9,0.55,0.596,3.4,4.2,0.821,0.9,5.1,6.0,1.9,1.0,0.4,1.2,3.6,20.6,,huntede01,16.2,0.634,0.522,0.289,2.8,15.0,9.1,7.1,1.4,1.1,7.0,20.5,1.4,0.8,2.2,0.157,1.6,0.0,1.6,0.6
142,Ochai Agbaji,24,TOR,SG,64,45,1739,5.5,11.1,0.498,2.1,5.2,0.399,3.4,5.8,0.587,0.593,0.7,1.0,0.708,1.3,3.7,5.0,2.0,1.2,0.6,1.1,2.6,13.8,,agbajoc01,12.0,0.601,0.474,0.09,3.7,11.4,7.5,7.9,1.6,1.6,8.9,14.6,1.6,1.5,3.1,0.087,-0.9,0.2,-0.7,0.5
143,Brandin Podziemski,21,GSW,SG,64,33,1716,5.9,13.2,0.445,2.4,6.5,0.372,3.5,6.7,0.516,0.537,1.5,2.0,0.758,1.4,5.5,6.8,4.6,1.4,0.3,1.6,2.0,15.7,,podzibr01,14.4,0.557,0.491,0.151,4.0,16.8,10.2,18.7,2.0,0.7,10.1,18.3,1.9,2.3,4.2,0.117,-0.1,0.8,0.7,1.2
144,Jabari Smith Jr.,21,HOU,PF,57,39,1716,5.2,11.9,0.438,2.1,5.8,0.354,3.1,6.1,0.519,0.525,2.2,2.6,0.825,2.2,6.2,8.4,1.3,0.5,0.9,1.3,2.6,14.6,,smithja05,12.6,0.562,0.489,0.223,6.4,18.6,12.4,4.7,0.7,2.1,8.9,16.4,1.9,2.2,4.2,0.117,-0.8,0.1,-0.7,0.6
145,Anthony Davis,31,2TM,C,51,51,1706,9.9,19.2,0.516,0.7,2.6,0.282,9.2,16.6,0.553,0.536,6.0,7.8,0.775,2.8,9.6,12.5,3.8,1.2,2.3,2.4,2.1,26.6,AS,davisan02,26.3,0.588,0.136,0.405,9.1,29.1,19.4,18.3,1.7,6.0,9.5,30.4,3.7,3.0,6.7,0.188,3.9,1.5,5.4,3.2
145,Anthony Davis,31,LAL,C,42,42,1440,10.0,18.9,0.528,0.7,2.3,0.298,9.3,16.6,0.56,0.546,6.3,8.0,0.788,3.0,9.5,12.5,3.5,1.4,2.3,2.3,2.0,27.0,,davisan02,27.1,0.601,0.124,0.423,9.6,28.9,19.5,17.1,1.8,5.9,9.4,30.2,3.6,2.6,6.2,0.207,4.5,1.5,6.0,2.9
145,Anthony Davis,31,DAL,PF,9,9,266,9.5,20.6,0.461,0.9,4.1,0.233,8.5,16.5,0.516,0.484,4.5,6.5,0.688,2.0,10.3,12.3,5.4,0.7,2.7,2.7,2.2,24.4,,davisan02,21.7,0.52,0.197,0.316,6.3,30.5,18.6,24.7,0.9,6.4,10.4,31.2,0.1,0.4,0.5,0.088,1.2,1.3,2.5,0.3
146,Bradley Beal,31,PHO,SG,53,38,1702,7.3,14.7,0.497,2.2,5.6,0.386,5.1,9.1,0.565,0.571,2.3,2.9,0.803,0.7,3.0,3.7,4.1,1.2,0.6,2.1,2.9,19.1,,bealbr01,15.2,0.598,0.38,0.197,2.3,9.1,5.8,17.6,1.7,1.5,11.6,22.1,1.9,0.6,2.4,0.068,-0.1,-1.0,-1.1,0.4
147,Georges Niang,31,2TM,PF,79,3,1697,6.1,13.2,0.461,3.5,8.7,0.406,2.5,4.5,0.569,0.595,1.0,1.2,0.793,1.0,4.8,5.8,2.4,0.6,0.3,1.7,4.3,16.6,,niangge01,11.2,0.607,0.66,0.094,3.1,14.3,8.7,8.8,0.8,0.8,11.3,17.9,1.5,1.4,2.9,0.081,-1.1,-1.2,-2.3,-0.1
147,Georges Niang,31,CLE,PF,51,1,1053,5.7,11.9,0.477,3.1,7.7,0.4,2.6,4.2,0.618,0.606,0.8,1.0,0.793,1.2,5.3,6.5,2.3,0.6,0.2,1.6,4.4,15.2,,niangge01,11.1,0.617,0.647,0.083,3.6,15.5,9.7,8.3,0.8,0.6,11.7,16.5,1.1,1.1,2.2,0.099,-1.3,-0.5,-1.8,0.1
147,Georges Niang,31,ATL,PF,28,2,644,6.7,15.2,0.441,4.2,10.3,0.413,2.5,4.9,0.5,0.581,1.3,1.6,0.793,0.7,3.9,4.6,2.5,0.6,0.4,1.9,4.0,19.0,,niangge01,11.4,0.595,0.676,0.107,2.2,12.2,7.1,9.6,0.8,1.0,10.7,20.3,0.4,0.3,0.7,0.051,-0.8,-2.3,-3.1,-0.2
148,Jakob Poeltl,29,TOR,C,57,56,1686,7.8,12.4,0.627,0.0,0.1,0.333,7.7,12.3,0.628,0.628,2.1,3.1,0.674,4.0,7.6,11.7,3.4,1.4,1.5,2.4,3.8,17.6,,poeltja01,20.0,0.641,0.005,0.249,11.7,23.3,17.4,14.5,1.9,4.0,14.7,18.7,3.0,2.5,5.5,0.158,0.7,1.3,2.0,1.7
149,Scotty Pippen Jr.,24,MEM,PG,79,21,1683,6.1,12.7,0.48,1.9,4.7,0.397,4.2,8.0,0.528,0.553,2.6,3.7,0.713,1.4,4.1,5.5,7.4,2.2,0.6,3.0,4.3,16.7,,pippesc02,15.8,0.582,0.369,0.288,4.1,12.1,8.1,27.1,2.8,1.6,17.1,19.3,2.4,2.3,4.7,0.133,0.0,1.8,1.9,1.7
150,Kevin Huerter,26,2TM,SG,69,31,1679,5.5,13.0,0.425,2.8,8.4,0.338,2.7,4.6,0.587,0.535,0.8,1.1,0.714,0.6,3.8,4.4,3.3,1.4,0.5,1.4,2.6,14.6,,huertke01,11.3,0.544,0.647,0.081,2.0,11.3,6.7,12.6,1.9,1.3,9.7,17.5,0.6,1.3,1.9,0.054,-1.8,-0.2,-2.0,0.0
150,Kevin Huerter,26,SAC,SG,43,15,899,5.1,12.4,0.413,2.5,8.2,0.302,2.6,4.2,0.629,0.513,0.8,1.1,0.714,0.8,4.0,4.8,3.0,1.4,0.6,1.5,2.8,13.5,,huertke01,10.6,0.524,0.661,0.09,2.4,12.6,7.5,11.0,2.0,1.7,10.3,17.2,0.1,0.8,0.8,0.044,-2.3,0.0,-2.3,-0.1
150,Kevin Huerter,26,CHI,SG,26,16,780,6.0,13.6,0.439,3.2,8.6,0.376,2.7,5.0,0.546,0.558,0.7,1.0,0.714,0.5,3.4,3.9,3.8,1.4,0.3,1.4,2.4,15.8,,huertke01,12.0,0.566,0.633,0.071,1.5,9.8,5.7,14.4,1.8,0.8,9.0,17.8,0.5,0.6,1.1,0.066,-1.2,-0.3,-1.5,0.1
151,Santi Aldama,24,MEM,PF,65,16,1660,6.8,14.1,0.483,2.6,7.1,0.368,4.2,7.0,0.599,0.576,1.4,2.0,0.691,2.0,7.0,9.0,4.1,1.1,0.6,1.5,1.6,17.6,,aldamsa01,16.8,0.588,0.503,0.145,6.1,20.3,13.3,15.2,1.5,1.6,9.3,18.5,2.9,2.0,5.0,0.144,2.5,0.7,3.2,2.2
152,A.J. Green,25,MIL,SG,73,7,1659,3.9,9.2,0.429,3.4,7.9,0.427,0.6,1.3,0.443,0.612,0.5,0.6,0.815,0.4,3.4,3.8,2.3,0.8,0.2,0.9,3.4,11.7,,greenaj01,9.2,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1
153,Al Horford,38,BOS,C,60,42,1659,4.2,10.0,0.423,2.5,6.8,0.363,1.8,3.2,0.551,0.547,0.7,0.8,0.895,1.7,6.3,8.0,2.8,0.8,1.1,1.0,1.8,11.7,,horfoal01,12.9,0.563,0.681,0.082,5.2,18.9,12.1,10.4,1.1,2.8,8.8,13.8,2.0,2.4,4.4,0.129,0.1,1.1,1.2,1.3
154,Terry Rozier,30,MIA,PG,64,23,1658,5.4,13.8,0.391,2.0,6.7,0.295,3.4,7.1,0.48,0.462,2.0,2.3,0.852,1.0,4.2,5.2,3.6,0.8,0.3,1.7,1.6,14.7,,roziete01,10.5,0.497,0.485,0.17,3.0,12.8,7.9,14.8,1.1,0.8,10.3,20.4,-0.5,1.5,1.0,0.029,-2.6,-1.0,-3.7,-0.7
155,Peyton Watson,22,DEN,SF,68,18,1656,4.4,9.3,0.477,1.0,3.0,0.353,3.4,6.3,0.534,0.533,2.1,3.0,0.693,1.0,4.0,5.1,2.0,1.0,2.0,1.2,2.7,12.0,,watsope01,11.4,0.564,0.318,0.32,3.3,11.8,7.7,7.0,1.4,5.0,10.3,13.9,1.0,1.5,2.5,0.073,-2.1,0.3,-1.8,0.1
156,Moses Moody,22,GSW,SG,74,34,1649,5.4,12.4,0.433,2.8,7.4,0.374,2.6,5.0,0.519,0.544,2.3,2.9,0.797,1.1,3.0,4.1,2.1,1.3,0.7,1.2,2.5,15.8,,moodymo01,12.4,0.578,0.593,0.234,3.3,9.2,6.2,8.3,1.7,1.8,7.9,17.4,1.7,1.8,3.5,0.102,-0.9,0.0,-0.9,0.5
157,Tristan Da Silva,23,ORL,SF,74,38,1629,4.4,10.7,0.412,1.8,5.3,0.335,2.6,5.4,0.488,0.495,1.2,1.4,0.873,1.6,3.8,5.4,2.5,0.7,0.4,1.2,2.1,11.8,,dasiltr01,9.9,0.522,0.495,0.13,4.9,12.7,8.6,10.3,1.0,1.1,9.9,15.2,0.5,1.9,2.5,0.073,-2.3,-0.3,-2.6,-0.3
158,Donte DiVincenzo,28,MIN,SG,62,10,1606,5.6,13.3,0.422,3.9,9.8,0.397,1.7,3.5,0.49,0.568,1.1,1.4,0.778,0.7,4.4,5.1,5.0,1.6,0.4,2.2,2.6,16.2,,divindo01,14.1,0.582,0.739,0.106,2.2,13.3,7.9,20.2,2.2,1.0,13.8,19.4,1.6,2.2,3.9,0.115,0.8,1.1,1.9,1.6
159,Isaiah Joe,25,OKC,SG,74,16,1604,5.8,13.2,0.44,4.3,10.5,0.412,1.5,2.7,0.549,0.604,1.0,1.3,0.821,0.9,3.5,4.4,2.7,1.1,0.2,0.9,2.5,17.0,,joeis01,14.0,0.617,0.793,0.095,2.8,10.1,6.6,9.7,1.4,0.6,5.8,17.2,2.9,2.2,5.1,0.153,1.4,-0.1,1.3,1.4
160,Corey Kispert,25,WAS,SF,61,0,1602,5.7,12.7,0.451,2.7,7.4,0.364,3.0,5.3,0.574,0.558,1.7,2.0,0.852,0.8,3.3,4.1,2.3,0.6,0.3,1.4,2.2,15.8,,kispeco01,11.0,0.584,0.584,0.156,2.3,9.5,5.9,9.7,0.8,0.8,9.6,17.5,1.0,0.1,1.1,0.032,-1.4,-2.2,-3.7,-0.7
161,Caris LeVert,30,2TM,SG,64,3,1596,6.3,13.5,0.467,2.4,6.4,0.373,3.9,7.1,0.552,0.556,2.5,3.5,0.71,0.9,3.7,4.6,4.8,1.3,0.7,1.7,2.2,17.5,,leverca01,15.2,0.582,0.474,0.259,2.8,11.0,6.9,18.1,1.7,1.9,10.2,19.4,2.4,1.6,4.0,0.119,0.8,0.1,0.9,1.2
161,Caris LeVert,30,CLE,SF,38,3,904,5.4,11.9,0.453,2.4,5.9,0.405,3.0,6.0,0.5,0.554,2.3,3.3,0.699,0.9,3.4,4.3,5.6,1.3,0.8,2.0,1.9,15.5,,leverca01,14.4,0.58,0.497,0.279,2.7,9.9,6.4,20.0,1.8,1.9,13.2,18.1,1.3,1.0,2.3,0.124,0.5,0.7,1.2,0.7
161,Caris LeVert,30,ATL,SG,26,0,692,7.5,15.7,0.482,2.4,7.1,0.338,5.2,8.6,0.6,0.558,2.7,3.7,0.722,1.0,4.0,5.0,3.9,1.2,0.7,1.3,2.7,20.2,,leverca01,16.2,0.583,0.452,0.239,2.9,12.5,7.6,15.7,1.6,1.9,7.0,21.2,1.1,0.5,1.6,0.112,1.1,-0.7,0.4,0.4
162,Miles McBride,24,NYK,PG,64,10,1593,5.0,12.4,0.406,2.6,7.1,0.369,2.4,5.3,0.455,0.511,1.2,1.4,0.813,1.1,2.6,3.6,4.2,1.5,0.4,0.9,2.4,13.8,,mcbrimi01,12.6,0.531,0.57,0.117,3.4,8.1,5.8,15.6,2.1,1.0,6.7,16.8,1.8,1.4,3.2,0.098,-0.4,0.4,0.0,0.8
163,Isaiah Hartenstein,26,OKC,C,57,53,1590,6.3,10.9,0.581,0.0,0.4,0.0,6.3,10.4,0.605,0.581,1.8,2.6,0.675,3.7,10.1,13.8,5.0,1.1,1.4,2.2,3.9,14.4,,harteis01,18.9,0.599,0.04,0.244,11.2,29.6,20.6,18.3,1.4,3.9,15.3,16.7,3.2,3.6,6.8,0.205,0.6,2.6,3.2,2.1
164,Gradey Dick,21,TOR,SG,54,54,1587,6.0,14.7,0.41,2.6,7.4,0.35,3.4,7.3,0.47,0.498,3.0,3.5,0.858,1.0,3.4,4.4,2.2,1.1,0.2,1.9,2.7,17.6,,dickgr01,10.9,0.543,0.504,0.24,2.9,10.3,6.5,8.9,1.5,0.6,10.4,21.0,0.2,1.2,1.4,0.042,-1.9,-1.3,-3.2,-0.5
165,Paolo Banchero,22,ORL,PF,46,46,1582,9.4,20.7,0.452,2.0,6.2,0.32,7.4,14.5,0.509,0.5,6.4,8.8,0.727,1.2,6.7,7.9,5.0,0.8,0.6,3.1,2.2,27.1,,banchpa01,20.0,0.551,0.299,0.423,3.5,22.4,12.5,26.0,1.1,1.7,11.2,33.6,1.1,2.4,3.5,0.106,3.4,0.2,3.5,2.2
166,Patrick Williams,23,CHI,PF,63,36,1576,4.7,11.8,0.397,2.2,6.2,0.353,2.5,5.6,0.447,0.49,1.4,1.9,0.723,1.0,4.4,5.4,2.8,1.1,0.7,2.0,2.0,12.9,,willipa01,9.0,0.512,0.527,0.161,2.9,12.7,7.9,10.3,1.4,1.8,13.5,16.9,-0.9,1.3,0.4,0.012,-3.0,-0.7,-3.7,-0.7
