Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
69,Domantas Sabonis,25,2TM,PF,62,61,2136,7.5,13.0,0.573,0.7,2.1,0.312,6.8,10.9,0.623,0.598,4.1,5.6,0.741,3.4,9.3,12.7,5.4,1.0,0.5,3.3,3.4,19.7,,sabondo01,21.9,0.637,0.162,0.429,10.3,29.0,19.5,23.6,1.3,1.1,17.5,22.3,5.3,1.8,7.1,0.159,3.2,0.9,4.1,3.2,7.4,0.484,0.261,0.047,0.041,0.623,0.738,0.515,0.389,0.219,0.312,0.614,0.974,0.085,59,0.136,0,0
69,Domantas Sabonis,25,IND,PF,47,46,1632,7.3,12.6,0.58,0.8,2.4,0.324,6.5,10.2,0.639,0.61,4.2,5.7,0.74,3.4,9.1,12.5,5.2,1.0,0.5,3.2,3.2,19.6,,sabondo01,22.2,0.649,0.189,0.452,10.4,28.6,19.4,22.2,1.4,1.2,17.3,21.7,4.4,1.3,5.7,0.168,3.6,1.0,4.6,2.7,7.9,0.51,0.221,0.042,0.032,0.639,0.749,0.5,0.292,0.278,0.324,0.618,1.0,0.088,45,0.148,0,0
69,Domantas Sabonis,25,SAC,PF,15,15,504,8.0,14.4,0.554,0.3,1.2,0.235,7.7,13.2,0.584,0.564,3.9,5.3,0.743,3.3,9.9,13.2,6.2,0.9,0.4,3.7,4.1,20.2,,sabondo01,21.0,0.603,0.084,0.366,9.8,30.3,20.0,28.0,1.2,0.9,18.1,24.4,0.9,0.5,1.4,0.132,1.8,0.5,2.3,0.5,6.8,0.411,0.376,0.059,0.069,0.584,0.699,0.539,0.583,0.143,0.235,0.602,0.75,0.079,14,0.059,0,0
70,Seth Curry,31,2TM,SG,64,64,2135,6.1,12.5,0.487,2.7,6.3,0.422,3.4,6.2,0.553,0.594,1.4,1.6,0.872,0.4,3.0,3.4,3.9,0.9,0.2,1.8,2.5,16.2,,curryse01,13.7,0.615,0.506,0.127,1.1,9.1,5.2,16.3,1.2,0.6,12.3,18.5,2.7,1.5,4.2,0.095,0.3,-0.9,-0.6,0.8,19.6,0.053,0.1,0.133,0.208,0.553,0.692,0.568,0.51,0.539,0.422,0.465,0.829,0.0,0,0.182,0,0
70,Seth Curry,31,PHI,SG,45,45,1566,5.9,12.1,0.485,2.3,5.7,0.4,3.6,6.4,0.561,0.58,1.5,1.7,0.877,0.4,3.1,3.5,4.2,0.8,0.3,1.9,2.3,15.5,,curryse01,13.3,0.603,0.473,0.138,1.2,9.4,5.4,17.7,1.1,0.6,13.0,18.5,1.7,1.1,2.9,0.088,-0.1,-0.9,-1.0,0.4,19.1,0.055,0.11,0.138,0.223,0.561,0.69,0.552,0.548,0.542,0.4,0.481,0.78,0.0,0,0.152,0,0
70,Seth Curry,31,BRK,SG,19,19,569,6.6,13.3,0.493,3.7,7.8,0.468,2.9,5.5,0.529,0.63,1.1,1.3,0.857,0.3,2.8,3.1,3.1,1.1,0.2,1.6,3.0,18.0,,curryse01,14.6,0.645,0.588,0.1,0.8,8.4,4.7,12.5,1.4,0.5,10.2,18.5,1.0,0.3,1.3,0.112,1.5,-0.8,0.7,0.4,20.2,0.047,0.076,0.118,0.171,0.529,0.7,0.625,0.4,0.528,0.468,0.413,0.914,0.0,0,0.242,0,0
71,Kyle Lowry,35,MIA,PG,63,63,2133,4.7,10.6,0.44,2.4,6.4,0.377,2.2,4.1,0.539,0.555,2.5,2.9,0.851,0.6,4.2,4.8,8.0,1.1,0.3,2.8,3.0,14.2,,lowryky01,15.0,0.6,0.609,0.278,1.8,13.0,7.5,32.3,1.6,0.8,19.3,18.2,3.7,2.7,6.4,0.143,1.1,0.8,2.0,2.1,19.6,0.118,0.091,0.089,0.088,0.539,0.716,0.456,0.446,0.473,0.377,0.303,0.653,0.0,0,0.147,4,0
72,Bojan Bogdanović,32,UTA,PF,69,69,2131,7.1,15.7,0.455,3.1,7.9,0.387,4.1,7.8,0.524,0.552,3.8,4.4,0.858,1.0,4.0,5.0,2.0,0.6,0.0,2.0,2.0,21.1,,bogdabo02,15.7,0.599,0.504,0.28,3.1,11.8,7.6,8.7,0.8,0.0,10.2,23.7,3.6,1.6,5.2,0.118,1.6,-1.6,0.0,1.1,15.6,0.147,0.25,0.084,0.015,0.524,0.684,0.483,0.41,0.286,0.387,0.568,0.917,0.016,11,0.376,0,0
73,Jaren Jackson Jr.,22,MEM,PF,78,78,2126,7.3,17.5,0.415,2.2,6.8,0.319,5.1,10.8,0.476,0.477,4.8,5.8,0.823,2.0,5.7,7.7,1.5,1.2,3.0,2.2,4.6,21.5,DPOY-5DEF1,jacksja02,17.0,0.535,0.387,0.333,5.7,16.9,11.2,5.8,1.6,7.4,9.9,25.4,1.7,3.7,5.4,0.121,-0.9,0.8,-0.1,1.0,12.8,0.217,0.331,0.054,0.005,0.476,0.613,0.399,0.411,0.4,0.319,0.556,0.977,0.051,46,0.17,1,0
74,Rudy Gobert,29,UTA,C,66,66,2120,6.1,8.6,0.713,0.0,0.1,0.0,6.1,8.6,0.718,0.713,5.1,7.5,0.69,4.1,12.3,16.4,1.2,0.8,2.3,2.0,3.0,17.4,DPOY-3ASDEF1,goberru01,24.7,0.732,0.008,0.864,12.9,36.3,25.0,5.1,1.0,5.7,14.5,16.9,7.3,4.3,11.7,0.264,2.9,1.7,4.6,3.6,2.7,0.738,0.244,0.008,0.002,0.718,0.803,0.468,0.75,0.0,0.0,0.724,,0.494,233,0.0,2,0
